season,episode,title,airdate
9,14,Vandalism,2013-01-31
9,15,Couples Discount,2013-02-07
9,16,Moving On,2013-02-14
9,17,The Farm,2013-03-14
9,18,Promos,2013-04-04
9,19,Stairmageddon,2013-04-11
9,20,Paper Airplane,2013-04-25
9,21,Livin' the Dream,2013-05-02
9,22,A.A.R.M.,2013-05-09
9,24,Finale,2013-05-16
